qtd;nome;r_faturado;r_custo;_custo;r_margem;;mes
1;ISCA DE CARNE C/ CALABRESA;55;0.0;0.0;55.0;0.0011;4
1;FAROFA DE CAMARÃO;50;0.0;0.0;50.0;0.001;4
1;LINGUIÇA BRASILEIRA;45;0.04;0.0009;44.96;0.0009;4
1;PORÇÃO DE VINAGRETE;5;0.0;0.0;5.0;0.0001;4
1;Cerveja Artesanal Patrice;20;10.0;0.5;10.0;0.0002;4
1;Cerveja Artesanal Muyra;20;10.0;0.5;10.0;0.0002;4
1;DOIS QUEIJOS;25;0.0;0.0;25.0;0.0005;4
1;FAROFA DE CALABRESA;40;0.0;0.0;40.0;0.0008;4
1;GUARANÁ ANTÁRTICA LT;6;1.89;0.315;4.11;0.0001;4
2;PORÇÃO DE FAROFA;10;0.0;0.0;10.0;0.0002;4
2;SUCO DE LARANJA;24;3.78;0.1575;20.22;0.0004;4
2;GIN TROPICAL;50;0.0;0.0;50.0;0.001;4
3;Cerveja Artesanal Cherokee;60;30.0;0.5;30.0;0.0006;4
3;Cerveja Artesanal Toho;60;30.0;0.5;30.0;0.0006;4
4;PORÇÃO DE FEIJÃO;20;0.0;0.0;20.0;0.0004;4
4;COPO SUJO;8;0.0;0.0;8.0;0.0002;4
5;GIN TÔNICA;100;0.0;0.0;100.0;0.0021;4
5;PICANHA;225;0.0;0.0;225.0;0.0047;4
5;QUEIJO MUSSARELA;50;0.0;0.0;50.0;0.001;4
6;Growler 1L TRIGO CLARO;120;18.0;0.15;102.0;0.0021;4
7;ÁGUA TÔNICA;42;9.31;0.2217;32.69;0.0007;4
7;PORÇÃO DE SALAME;126;0.0;0.0;126.0;0.0026;4
7;Cerveja Artesanal Yacy;140;70.0;0.5;70.0;0.0015;4
8;PORÇÃO DE ARROZ;40;0.0;0.0;40.0;0.0008;4
8;DOSE DE CACHAÇA DE JAMBU;96;48.0;0.5;48.0;0.001;4
8;COMBINADINHO DE BOTECO;175;0.0;0.0;175.0;0.0036;4
8;QUEIJO COALHO;96;0.0;0.0;96.0;0.002;4
9;TÁBUA DE FRIOS;540;0.99;0.0018;539.01;0.0112;4
9;PASTEL DE CARNE;245;0.0;0.0;245.0;0.0051;4
9;Caneca 1L;252;25.38;0.1007;226.62;0.0047;4
9;OVO DE CODORNA;108;0.0;0.0;108.0;0.0022;4
10;ENERGÉTICO MONSTER;180;46.5;0.2583;133.5;0.0028;4
10;SUJAR;50;350.0;7.0;-300.0;-0.0062;4
10;CAMARÃO ALHO & ÓLEO;400;18.0;0.045;382.0;0.0079;4
11;CARRÉ SUÍNO;275;0.0;0.0;275.0;0.0057;4
11;ISCA DE CARNE, BATATA E CALABRESA;770;0.0;0.0;770.0;0.016;4
11;DOSE DE VODKA;77;0.55;0.0071;76.45;0.0016;4
12;FRANGO A PASSARINHO;420;1.56;0.0037;418.44;0.0087;4
15;Cerveja Artesanal Boiúna;300;150.0;0.5;150.0;0.0031;4
17;FANTA 1L;204;30.43;0.1492;173.57;0.0036;4
18;TORRE 3L CORTESIA;0;720.0;0.0;-720.0;-0.015;4
18;COCA-COLA 1L;216;32.22;0.1492;183.78;0.0038;4
19;CALABRESA C/ BATATA;950;2.47;0.0026;947.53;0.0197;4
19;ISCA DE CARNE;665;0.0;0.0;665.0;0.0138;4
20;Growler 1L PREMIUM;400;60.0;0.15;340.0;0.0071;4
21;BOLINHO DE BACALHAU;630;10.29;0.0163;619.71;0.0129;4
21;CAIPIRINHA C/ VODKA;315;0.0;0.0;315.0;0.0066;4
21;FRANGO A MILANESA;588;0.0;0.0;588.0;0.0122;4
22;CALABRESA ACEBOLADA;610;2.86;0.0047;607.14;0.0126;4
