qtd;nome;r_faturado;r_custo;_custo;r_margem;;mes
1;Cerveja Artesanal Boiúna;20;10.0;0.5;10.0;0.0002;2
1;PORÇÃO DE AZEITONA;12;0.0;0.0;12.0;0.0002;2
1;Cerveja Amber Lager Tembetá;20;10.0;0.5;10.0;0.0002;2
1;Cerveja Artesanal Cherokee;20;10.0;0.5;10.0;0.0002;2
2;FAROFA DE CARNE;80;0.0;0.0;80.0;0.0016;2
2;ISCA DE CARNE C/ CALABRESA;110;0.0;0.0;110.0;0.0022;2
2;FAROFA DE CAMARÃO;100;0.0;0.0;100.0;0.002;2
2;Cerveja Artesanal Sá;40;20.0;0.5;20.0;0.0004;2
2;Cerveja Artesanal Yacy;40;20.0;0.5;20.0;0.0004;2
2;DOSE DE VODKA;14;0.1;0.0071;13.9;0.0003;2
3;Cerveja Artesanal Toho;60;30.0;0.5;30.0;0.0006;2
3;CAMARÃO ALHO & ÓLEO;120;5.4;0.045;114.6;0.0023;2
3;DOSE DE CACHAÇA;21;0.51;0.0243;20.49;0.0004;2
3;QUEIJO MUSSARELA;30;0.0;0.0;30.0;0.0006;2
3;ESPETINHO DE FRANGO;30;5.4;0.18;24.6;0.0005;2
4;PASTEL DE CARNE;110;0.0;0.0;110.0;0.0022;2
4;COPO SUJO;8;0.0;0.0;8.0;0.0002;2
4;LINGUIÇA BRASILEIRA;180;0.16;0.0009;179.84;0.0036;2
5;SUJAR;25;175.0;7.0;-150.0;-0.003;2
5;PORÇÃO DE VINAGRETE;25;0.0;0.0;25.0;0.0005;2
5;SUCO DE UVA;60;9.45;0.1575;50.55;0.001;2
5;ÁGUA TÔNICA;30;6.65;0.2217;23.35;0.0005;2
5;TÁBUA DE FRIOS;300;0.55;0.0018;299.45;0.006;2
5;Growler 1L TRIGO CLARO;100;15.0;0.15;85.0;0.0017;2
6;PORÇÃO DE FAROFA;30;0.0;0.0;30.0;0.0006;2
6;Cerveja Artesanal Muyra;120;60.0;0.5;60.0;0.0012;2
6;DOSE DE CACHAÇA DE JAMBU;72;36.0;0.5;36.0;0.0007;2
7;Cerveja Artesanal Patrice;140;70.0;0.5;70.0;0.0014;2
7;FAROFA DE CALABRESA;280;0.0;0.0;280.0;0.0056;2
7;ENERGÉTICO MONSTER;126;32.55;0.2583;93.45;0.0019;2
7;COMBINADINHO DE BOTECO;150;0.0;0.0;150.0;0.003;2
8;PICANHA;360;0.0;0.0;360.0;0.0072;2
8;GIN TÔNICA;160;0.0;0.0;160.0;0.0032;2
8;OVO DE CODORNA;96;0.0;0.0;96.0;0.0019;2
9;FANTA 1L;108;16.11;0.1492;91.89;0.0018;2
10;FRANGO A PASSARINHO;350;1.3;0.0037;348.7;0.007;2
10;TORRE 3L CORTESIA;0;400.0;0.0;-400.0;-0.0081;2
11;SUCO DE LARANJA;132;20.79;0.1575;111.21;0.0022;2
11;TORRE 2,5L CORTESIA;0;385.0;0.0;-385.0;-0.0077;2
12;CALABRESA C/ BATATA;600;1.56;0.0026;598.44;0.012;2
12;PORÇÃO DE SALAME;216;0.0;0.0;216.0;0.0043;2
12;ÁGUA COM GÁS;60;10.08;0.168;49.92;0.001;2
12;Caneca 1L;336;33.84;0.1007;302.16;0.0061;2
13;PASTEL DE QUEIJO;345;0.0;0.0;345.0;0.0069;2
13;GUARANÁ ANTÁRTICA LT;78;24.57;0.315;53.43;0.0011;2
13;GIN TROPICAL;325;0.0;0.0;325.0;0.0065;2
13;ISCA DE CARNE, BATATA E CALABRESA;910;0.0;0.0;910.0;0.0183;2
13;PORÇÃO DE FEIJÃO;65;0.0;0.0;65.0;0.0013;2
14;BOLINHO DE BACALHAU;420;6.86;0.0163;413.14;0.0083;2
15;CAIPIRINHA C/ VODKA;225;0.0;0.0;225.0;0.0045;2
15;CALABRESA ACEBOLADA;435;1.95;0.0045;433.05;0.0087;2
15;ISCA DE CARNE;525;0.0;0.0;525.0;0.0106;2
15;QUEIJO COALHO;180;0.0;0.0;180.0;0.0036;2
16;TORRE 3,5L CORTESIA;0;640.0;0.0;-640.0;-0.0129;2
16;CAIPIRINHA C/ CACHAÇA;240;0.0;0.0;240.0;0.0048;2
21;Growler 1L PREMIUM;420;63.0;0.15;357.0;0.0072;2
