qtd;nome;r_faturado;r_custo;_custo;r_margem;;mes
1;Cerveja Amber Lager Tembetá;20;10.0;0.5;10.0;0.0002;1
2;LINGUIÇA BRASILEIRA;90;0.08;0.0009;89.92;0.002;1
2;COMBINADINHO DE BOTECO;45;0.0;0.0;45.0;0.001;1
2;ÁGUA TÔNICA;12;2.66;0.2217;9.34;0.0002;1
2;Cerveja Artesanal Toho;40;20.0;0.5;20.0;0.0004;1
3;PASTEL DE CARNE;85;0.0;0.0;85.0;0.0019;1
3;Cerveja Artesanal Yacy;60;30.0;0.5;30.0;0.0007;1
3;Cerveja Artesanal Boiúna;60;30.0;0.5;30.0;0.0007;1
3;BATATA RÚSTICA;84;6.6;0.0786;77.4;0.0017;1
3;DOSE DE CACHAÇA;21;0.51;0.0243;20.49;0.0005;1
3;QUEIJO MUSSARELA;30;0.0;0.0;30.0;0.0007;1
3;DOSE DE VODKA;21;0.15;0.0071;20.85;0.0005;1
3;PORÇÃO DE FEIJÃO;15;0.0;0.0;15.0;0.0003;1
4;PICANHA;180;0.0;0.0;180.0;0.004;1
4;SUCO DE LARANJA;48;7.56;0.1575;40.44;0.0009;1
4;Cerveja Artesanal Cherokee;80;40.0;0.5;40.0;0.0009;1
4;Cerveja Artesanal Patrice;80;40.0;0.5;40.0;0.0009;1
4;Cerveja Artesanal Sá;80;40.0;0.5;40.0;0.0009;1
5;Cerveja Artesanal Muyra;100;50.0;0.5;50.0;0.0011;1
5;CALABRESA C/ BATATA;250;0.65;0.0026;249.35;0.0055;1
5;SUCO DE UVA;60;9.45;0.1575;50.55;0.0011;1
5;ESPETINHO DE FRANGO;50;9.0;0.18;41.0;0.0009;1
5;TAÇA DE VINHO;75;0.0;0.0;75.0;0.0017;1
6;ENERGÉTICO MONSTER;108;27.9;0.2583;80.1;0.0018;1
6;ESPETINHO MISTO;60;10.8;0.18;49.2;0.0011;1
6;Growler 1L TRIGO CLARO;120;18.0;0.15;102.0;0.0023;1
6;CARRÉ SUÍNO;150;0.0;0.0;150.0;0.0033;1
7;PORÇÃO DE ARROZ;35;0.0;0.0;35.0;0.0008;1
7;PORÇÃO DE AZEITONA;84;0.0;0.0;84.0;0.0019;1
7;PORÇÃO DE FAROFA;35;0.0;0.0;35.0;0.0008;1
8;GIN TÔNICA;160;0.0;0.0;160.0;0.0035;1
9;ISCA DE CARNE C/ CALABRESA;495;0.0;0.0;495.0;0.0109;1
9;Caneca 1L;266;25.38;0.0954;240.62;0.0053;1
9;CALABRESA ACEBOLADA;280;1.17;0.0042;278.83;0.0062;1
9;FILÉ DE FRANGO;225;0.0;0.0;225.0;0.005;1
9;COCA-COLA 1L;108;16.11;0.1492;91.89;0.002;1
10;TÁBUA DE FRIOS;510;1.1;0.0022;508.9;0.0112;1
11;FRANGO A PASSARINHO;385;1.43;0.0037;383.57;0.0085;1
11;FAROFA DE CARNE;360;0.0;0.0;360.0;0.0079;1
12;FRANGO A MILANESA;336;0.0;0.0;336.0;0.0074;1
13;QUEIJO COALHO;156;0.0;0.0;156.0;0.0034;1
13;OVO DE CODORNA;156;0.0;0.0;156.0;0.0034;1
14;PORÇÃO DE SALAME;252;0.0;0.0;252.0;0.0056;1
14;Linguiça de Frango;280;168.0;0.6;112.0;0.0025;1
15;Caneca Suja 1L;525;42.3;0.0806;482.7;0.0107;1
16;PASTEL DE QUEIJO;475;0.0;0.0;475.0;0.0105;1
16;ISCA DE CARNE, BATATA E CALABRESA;1120;0.0;0.0;1120.0;0.0247;1
17;TORRE 1L CORTESIA;0;595.0;0.0;-595.0;-0.0131;1
18;GUARANÁ ANTÁRTICA LT;108;34.02;0.315;73.98;0.0016;1
18;Growler 1L PREMIUM;360;54.0;0.15;306.0;0.0068;1
18;ESPETINHO DE CARNE E CALABRESA;126;32.4;0.2571;93.6;0.0021;1
20;PRATO DO DIA - LINGUIÇA DE FRANGO;400;0.0;0.0;400.0;0.0088;1
20;Linguiça Toscana;400;240.0;0.6;160.0;0.0035;1
21;BOLINHO DE BACALHAU;606;10.29;0.017;595.71;0.0131;1
22;PASTEL MISTO;650;0.0;0.0;650.0;0.0143;1
22;CAIPIRINHA C/ VODKA;330;0.0;0.0;330.0;0.0073;1
25;SUJAR;125;875.0;7.0;-750.0;-0.0165;1
28;COCA-COLA ZERO LT;168;52.92;0.315;115.08;0.0025;1
29;Frango Frito;580;348.0;0.6;232.0;0.0051;1
29;TORRE 500ML CORTESIA;0;1015.0;0.0;-1015.0;-0.0224;1
30;CAIPIRINHA C/ CACHAÇA;450;0.0;0.0;450.0;0.0099;1
34;CARNE DE SOL;1088;0.0;0.0;1088.0;0.024;1
36;ÁGUA COM GÁS;180;30.24;0.168;149.76;0.0033;1
39;ISCA DE CARNE;1215;0.0;0.0;1215.0;0.0268;1
41;BIFE A CAVALO;1058;0.0;0.0;1058.0;0.0233;1
43;BARRIL PILSEN 5L;3440;1720.0;0.5;1720.0;0.038;1
44;TAMBAQUI FRITO;1144;0.0;0.0;1144.0;0.0252;1
46;TORRE 1,5L CORTESIA;0;1610.0;0.0;-1610.0;-0.0355;1
46;ISCA DE CARNE C/ BATATA;2300;0.0;0.0;2300.0;0.0508;1
54;Carne Assada de Panela;1080;810.0;0.75;270.0;0.006;1
54;ESPETINHO DE CARNE;408;97.2;0.2382;310.8;0.0069;1
55;Tambaqui Frito;1375;660.0;0.48;715.0;0.0158;1
70;FANTA LARANJA LT;420;132.3;0.315;287.7;0.0063;1
80;Caneca Suja 300ml;1280;134.4;0.105;1145.6;0.0253;1
85;TORRE 2,5L;3960;2975.0;0.7513;985.0;0.0217;1
101;SUJAR;202;80.8;0.4;121.2;0.0027;1
107;Growler 1L Pilsen;1605;321.0;0.2;1284.0;0.0283;1
110;TORRE 3L;5605;4400.0;0.785;1205.0;0.0266;1
121;Bife Acebolado;2420;1936.0;0.8;484.0;0.0107;1
121;BATATA FRITA;2955;217.8;0.0737;2737.2;0.0604;1
138;TORRE 3,5L;7905;5520.0;0.6983;2385.0;0.0526;1
147;Caneca Suja 500ml;2646;414.54;0.1567;2231.46;0.0492;1
154;TORRE 1,5L;5390;5390.0;1.0;0.0;0.0;1
160;PORÇÃO DE LIMÃO;480;0.0;0.0;480.0;0.0106;1
216;COCA-COLA LT;1296;386.64;0.2983;909.36;0.0201;1
246;Caneca 300ml;3250;413.28;0.1272;2836.72;0.0626;1
277;ÁGUA SEM GÁS;1385;182.82;0.132;1202.18;0.0265;1
317;TORRE 2L;13180;11095.0;0.8418;2085.0;0.046;1
328;Caneca 500mL;4375;551.04;0.126;3823.96;0.0844;1
377;Caneca 500ml;5114;1063.14;0.2079;4050.86;0.0894;1
