qtd;nome;r_faturado;r_custo;_custo;r_margem;;mes
1;ISCA DE CARNE C/ CALABRESA;55;0.0;0.0;55.0;0.0011;3
1;FAROFA DE CAMARÃO;50;0.0;0.0;50.0;0.001;3
1;FAROFA DE CALABRESA;40;0.0;0.0;40.0;0.0008;3
2;LINGUIÇA BRASILEIRA;90;0.08;0.0009;89.92;0.0017;3
2;Cerveja Artesanal Toho;40;20.0;0.5;20.0;0.0004;3
2;Cerveja Artesanal Boiúna;40;20.0;0.5;20.0;0.0004;3
2;Cerveja Artesanal Patrice;40;20.0;0.5;20.0;0.0004;3
3;Cerveja Artesanal Yacy;60;30.0;0.5;30.0;0.0006;3
3;Cerveja Artesanal Yahu;60;30.0;0.5;30.0;0.0006;3
3;Cerveja Artesanal Sá;60;30.0;0.5;30.0;0.0006;3
3;Cerveja Artesanal Muyra;60;30.0;0.5;30.0;0.0006;3
3;DOSE DE CACHAÇA DE JAMBU;36;18.0;0.5;18.0;0.0003;3
3;FAROFA DE CARNE;120;0.0;0.0;120.0;0.0023;3
3;Growler 1L TRIGO CLARO;60;9.0;0.15;51.0;0.001;3
4;SUCO DE LARANJA;48;7.56;0.1575;40.44;0.0008;3
4;ENERGÉTICO MONSTER;72;18.6;0.2583;53.4;0.001;3
4;TORRE 2,5L CORTESIA;0;140.0;0.0;-140.0;-0.0027;3
4;ESPETINHO DE FRANGO;40;7.2;0.18;32.8;0.0006;3
5;CAMARÃO ALHO & ÓLEO;200;9.0;0.045;191.0;0.0037;3
5;DOIS QUEIJOS;125;0.0;0.0;125.0;0.0024;3
5;Cerveja Artesanal Cherokee;100;50.0;0.5;50.0;0.001;3
5;DOSE DE CACHAÇA;35;0.85;0.0243;34.15;0.0007;3
5;PORÇÃO DE FAROFA;25;0.0;0.0;25.0;0.0005;3
5;COPO SUJO;10;0.0;0.0;10.0;0.0002;3
6;TORRE 3,5L CORTESIA;0;240.0;0.0;-240.0;-0.0046;3
6;TÁBUA DE FRIOS;360;0.66;0.0018;359.34;0.0069;3
6;PORÇÃO DE SALAME;108;0.0;0.0;108.0;0.0021;3
6;PORÇÃO DE VINAGRETE;30;0.0;0.0;30.0;0.0006;3
7;GIN TROPICAL;175;0.0;0.0;175.0;0.0034;3
7;TORRE 3L CORTESIA;0;280.0;0.0;-280.0;-0.0054;3
7;PORÇÃO DE FEIJÃO;35;0.0;0.0;35.0;0.0007;3
7;QUEIJO MUSSARELA;70;0.0;0.0;70.0;0.0014;3
7;ÁGUA TÔNICA;42;9.31;0.2217;32.69;0.0006;3
8;FANTA 1L;96;14.32;0.1492;81.68;0.0016;3
8;Growler 1L PREMIUM;160;24.0;0.15;136.0;0.0026;3
9;CAIPIRINHA C/ VODKA;135;0.0;0.0;135.0;0.0026;3
9;PASTEL DE CARNE;260;0.0;0.0;260.0;0.005;3
9;SUJAR;45;315.0;7.0;-270.0;-0.0052;3
11;PORÇÃO DE ARROZ;55;0.0;0.0;55.0;0.0011;3
11;OVO DE CODORNA;132;0.0;0.0;132.0;0.0026;3
12;Caneca 1L;336;33.84;0.1007;302.16;0.0058;3
12;CARRÉ SUÍNO;300;0.0;0.0;300.0;0.0058;3
12;PICANHA;540;0.0;0.0;540.0;0.0104;3
12;COMBINADINHO DE BOTECO;285;0.0;0.0;285.0;0.0055;3
12;ISCA DE CARNE, BATATA E CALABRESA;840;0.0;0.0;840.0;0.0162;3
13;COCA-COLA 1L;156;23.27;0.1492;132.73;0.0026;3
14;CALABRESA C/ BATATA;700;1.82;0.0026;698.18;0.0135;3
14;ESPETINHO DE CARNE;140;25.2;0.18;114.8;0.0022;3
15;GUARANÁ ANTÁRTICA LT;90;28.35;0.315;61.65;0.0012;3
17;FRANGO A PASSARINHO;595;2.21;0.0037;592.79;0.0115;3
20;PASTEL DE QUEIJO;565;0.0;0.0;565.0;0.0109;3
21;CALABRESA ACEBOLADA;595;2.73;0.0046;592.27;0.0115;3
23;ÁGUA COM GÁS;115;19.32;0.168;95.68;0.0019;3
23;BOLINHO DE BACALHAU;690;11.27;0.0163;678.73;0.0131;3
25;QUEIJO COALHO;300;0.0;0.0;300.0;0.0058;3
26;COCA-COLA ZERO LT;156;49.14;0.315;106.86;0.0021;3
29;ISCA DE CARNE;1015;0.0;0.0;1015.0;0.0196;3
29;PASTEL MISTO;805;0.0;0.0;805.0;0.0156;3
29;ISCA DE CARNE C/ BATATA;1450;0.0;0.0;1450.0;0.028;3
32;CAIPIRINHA C/ CACHAÇA;480;0.0;0.0;480.0;0.0093;3
35;ESPETINHO MISTO;350;63.0;0.18;287.0;0.0055;3
36;FILÉ DE FRANGO;900;0.0;0.0;900.0;0.0174;3
37;FRANGO A MILANESA;1036;0.0;0.0;1036.0;0.02;3
41;TORRE 3L;2255;1640.0;0.7273;615.0;0.0119;3
55;FANTA LARANJA LT;330;103.95;0.315;226.05;0.0044;3
57;CARNE DE SOL;1824;0.0;0.0;1824.0;0.0353;3
65;TORRE 2L CORTESIA;0;2275.0;0.0;-2275.0;-0.044;3
66;PRATO DO DIA - LINGUIÇA DE FRANGO;1320;0.0;0.0;1320.0;0.0255;3
85;BARRIL PILSEN 5L;6040;3400.0;0.5629;2640.0;0.0511;3
90;Growler 1L Pilsen;1350;270.0;0.2;1080.0;0.0209;3
101;TORRE 2,5L;5050;3535.0;0.7;1515.0;0.0293;3
110;BATATA FRITA;2555;198.0;0.0775;2357.0;0.0456;3
124;TORRE 3,5L;7440;4960.0;0.6667;2480.0;0.048;3
126;TAMBAQUI FRITO;3276;0.0;0.0;3276.0;0.0633;3
127;PORÇÃO DE LIMÃO;381;0.0;0.0;381.0;0.0074;3
146;BIFE A CAVALO;3796;0.0;0.0;3796.0;0.0734;3
209;COCA-COLA LT;1254;374.11;0.2983;879.89;0.017;3
234;ÁGUA SEM GÁS;1170;154.44;0.132;1015.56;0.0196;3
274;TORRE 2L;12330;9590.0;0.7778;2740.0;0.053;3
465;Caneca 300ml;5430;781.2;0.1439;4648.8;0.0899;3
564;SUJAR;1128;451.2;0.4;676.8;0.0131;3
757;Caneca 500mL;9765;1271.76;0.1302;8493.24;0.1642;3
